city,avg_deal_value,gross_deal_value,gross_deal_value_pct,deal_count,deal_count_pct
New York City,35060.2,13147575,92.23950128,375,92.36453202
Los Angeles,35682.6129,1106161,7.760498721,31,7.63546798
